Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вітрук,Амвросій,Олександрович,чоловіча,1966-10-10,Редактор,місто Первомайськ,"сквер Літературна, буд. 7 кв. 797, Помічна, 72856",094-16-60,artemzatula@example.org
Дробʼязко,Петро,Григорович,чоловіча,1988-01-11,Режисер,село Южноукраїнськ,"вулиця Проїзний 3-й, буд. 34 кв. 52, Лисичанськ, 49297",+380 72 831-75-53,ktverdokhlib@example.com
Чуприна,Валентина,Леонідівна,жіноча,1974-11-27,Лікар,хутір Батурин,"набережна Лучиста, буд. 422, Федорівка, 36210",017 442-22-47,valentyn87@example.com
Вдовенко,Анжела,Федорівна,жіноча,1929-07-26,Краєзнавець,селище Ізмаїл,"проспект Восьмого березня 5-й, буд. 22 кв. 9, Буринь, 39905",+380 (23) 837-09-14,vasylynadanchuk@example.net
Карпа,Арсен,Михайлович,чоловіча,1979-06-24,Клавішник,хутір Докучаєвськ,"набережна Привокзальний, буд. 621 кв. 731, Корець, 07673",076 528-43-83,akymenkoiukhym@example.com
Свириденко,Іван,Андрійович,чоловіча,1992-04-07,Мистецтвознавець,село Ківерці,"шосе Отрада, буд. 93 кв. 95, Мостиська, 96634",+380 94 849-71-65,iaremchukiryna@example.net
Конопля,Демʼян,Сергійович,чоловіча,1960-03-01,М'ясник,село Острог,"узвіз Флотський 2-й, буд. 4, Ржищів, 83678",226 74 73,venedykt27@example.com
Єсипенко,Олена,Іванівна,жіноча,1972-11-20,Патологоанатом,село Мукачево,"узвіз Кипарисний 1-й, буд. 79 кв. 21, Новий Калинів, 70050",084 327 30 15,mykhailiukiustyna@example.com
Зубко,Нестор,Григорович,чоловіча,1973-04-04,Паралегал,селище Хуст,"сквер Дача Ковалевського, буд. 348 кв. 58, Нова Одеса, 97634",041 585 86 84,szabila@example.net
Панчук,Герман,Андрійович,чоловіча,1982-11-04,Реставратор,село Ізюм,"парк Віри Холодної, буд. 7, Антрацит , 72212",588-79-40,giakymenko@example.net
Саєнко,Тимофій,Григорович,чоловіча,1932-03-31,Драматург,селище Шпола,"проспект Закарпатська, буд. 08 кв. 63, Олександрівськ, 17071",504-37-70,varvara47@example.org
Демиденко,Веніямин,Русланович,чоловіча,1960-02-19,Реабілітолог,місто Кам'янка-Бузька,"узвіз Васнецова, буд. 2, Первомайський , 90924",053 723 43 93,tshvachko@example.org
Шаблій,Василь,Григорович,чоловіча,1944-08-18,Геофізик,селище Федорівка,"площа Басейний 6-й, буд. 107, Герца, 24445",285 78 86,qbaranyk@example.org
Верховинець,Богуслав,Тарасович,чоловіча,1985-05-17,Мінералог,село Світловодськ,"сквер Василя Симоненка, буд. 54, Вознесенськ, 69504",+380 07 190-53-28,mykolai99@example.org
Негода,Лесь,Сергійович,чоловіча,1935-07-12,Різноробочий,село Київ,"вулиця Героїв Небесної Сотні, буд. 039, Миронівка, 08913",436-03-58,vakhniisvitlana@example.net
Шеремет,Мартин,Олександрович,чоловіча,1949-12-30,Скульптор,місто Вижниця,"провулок Деревообробний 1-й, буд. 667, Тульчин, 72490",+380 24 444-04-50,snizhana03@example.net
Черінько,Веніямин,Олександрович,чоловіча,1978-03-31,Ювелір,село Чугуїв,"проспект Крайня, буд. 32, Татарбунари, 73023",053 916 53 98,shcherbanstanislav@example.org
Франчук,Лесь,Тарасович,чоловіча,1985-08-31,Правник,місто Костопіль,"проспект 7-ма Суворовська, буд. 2, Мар'їнка, 60324",080 97 18,illiamasokha@example.net
Сірченко,Йосип,Петрович,чоловіча,1934-11-18,Електрик,селище Перечин,"парк Наявний 7-й, буд. 616 кв. 2, Ватутіне, 33690",394 55 05,levkoshakhrai@example.org
Непорожній,Феофан,Богданович,чоловіча,1982-02-25,Лікар,хутір Вознесенівка,"узвіз Лінія 29-та, буд. 897, Пологи , 95454",+380 76 019-33-75,uiashchenko@example.net
Голобородько,Вадим,Тарасович,чоловіча,1969-05-30,Живописець,місто Бар,"проспект Бодаревського, буд. 737, Знам'янка, 28937",+380 (99) 484-10-60,hprytula@example.com
Забара,Марта,Костянтинівна,жіноча,1949-08-25,Дерун,селище Скадовськ,"узвіз Сінна, буд. 027, Остер , 44504",+380 84 498 66 58,stusrozaliia@example.com
Мазур,Максим,Сергійович,чоловіча,1995-06-12,Золотар,село Липовець,"вулиця Кладовищенська, буд. 93 кв. 189, Хорол , 56778",029 849-37-58,tverdokhlibrostyslav@example.org
Примаченко,Еріка,Юріївна,жіноча,1971-11-18,Музикант,місто Зимогір'я,"проспект Мельницька, буд. 34 кв. 0, Чистякове, 40508",471-16-27,pylyp20@example.org
Адамчук,Тимофій,Михайлович,чоловіча,1976-01-19,Ветеринар,селище Дубляни,"шосе Учительський, буд. 6, Березань , 53158",049 224-54-39,yilchenko@example.net
Микитюк,Галина,Миколаївна,жіноча,1962-04-29,Палеонтолог,селище Балаклія,"набережна Володимира Вінниченка, буд. 262, Каховка, 19946",747-65-92,marianadashenko@example.com
Корпанюк,Варфоломій,Михайлович,чоловіча,1944-10-16,Акушер,село Берегове,"проспект Купріна, буд. 27, Лиман , 24448",+380 43 768 81 67,iurchyshynzynovii@example.com
Франчук,Йосип,Миколайович,чоловіча,1952-02-11,Футболіст,хутір Червоносів,"проспект Ямська, буд. 9 кв. 92, Зугрес, 71101",+380 38 514-72-22,azaiets@example.org
Єрченко,Трохим,Федорович,чоловіча,2004-11-21,Фрілансер,село Сколе,"шосе Казанська, буд. 4 кв. 448, Умань, 47741",089 741 36 78,lzabara@example.org
Проценко,Федір,Захарович,чоловіча,1944-06-24,Паблік рилейшнз,село Світловодськ,"провулок Артилерійська, буд. 0, Новий Буг, 81859",968 69 20,viktor14@example.com
Конопля,Олекса,Олександрович,чоловіча,2001-03-27,Економіст,місто Південне ,"парк Радіальний, буд. 185 кв. 523, Зоринськ, 58566",125-71-29,vkonoplia@example.net
Свириденко,Богдан,Захарович,чоловіча,1985-08-04,Машиніст,місто Марганець ,"провулок Пісочна, буд. 843 кв. 491, Родинське, 39685",+380 60 870-51-89,vcherednyk@example.net
Височан,Василина,Юріївна,жіноча,1964-06-19,Лікар,місто Лозова ,"набережна Парашутний, буд. 2 кв. 4, Ровеньки, 04809",740-22-89,prokhir79@example.com
Мазепа,Тимофій,Тарасович,чоловіча,1992-07-29,Головний меркшейдер,місто Соледар,"узвіз Академіка Ясиновського, буд. 555 кв. 972, Кодима, 01213",+380 78 601 07 38,artiukhandrii@example.net
Олійник,Орися,Ярославівна,жіноча,1987-02-10,Маркетолог,селище П'ятихатки,"сквер Військовий узвіз, буд. 389 кв. 565, Кам'янське, 70913",+380 13 704-09-11,kyrylo54@example.com
Кащенко,Едита,Тарасівна,жіноча,1954-06-20,Паралегал,місто Василівка ,"вулиця Гетьманський, буд. 8 кв. 0, Сніжне, 73609",053 514 67 29,khorishkolevko@example.org
Кабаненко,Ярослава,Захарівна,жіноча,2000-08-12,Провізор,село Шумськ,"вулиця Академіка Воробйова, буд. 32, Берегове, 84034",+380 (32) 369-46-88,ibabych@example.com
Черінько,Едита,Євгенівна,жіноча,2005-05-31,Намотувальник,хутір Першотравенськ,"провулок Прорізний, буд. 4 кв. 9, Косів, 67722",014 187-68-90,vasyllevchenko@example.org
Шинкаренко,Олесь,Тарасович,чоловіча,1995-04-23,Бізнесмен,селище Чоп,"набережна Проточний, буд. 27 кв. 315, Докучаєвськ, 23291",+380 98 771-34-99,stefan07@example.org
Перебийніс,Вʼячеслав,Юрійович,чоловіча,1973-03-27,Піаніст,місто Нововолинськ,"проспект Скляна, буд. 45 кв. 982, Переяслав, 58475",+380 (25) 598-26-72,iefremvakarchuk@example.com
Штепа,Марія,Захарівна,жіноча,1994-09-05,Футболіст,місто Славута,"набережна Шовкуненка, буд. 5, Вільногірськ, 85283",721 71 10,iesypenkoiustym@example.net
Сіробаба,Данило,Леонідович,чоловіча,1993-11-01,Паблік рилейшнз,місто Андрушівка,"провулок Старорізнична, буд. 86, Інкерман, 19222",422 35 94,solomon61@example.com
Дейнека,Азар,Сергійович,чоловіча,1943-01-27,Адвокат,місто Армянськ,"сквер Щоглова, буд. 089 кв. 231, Нова Одеса, 50884",+380 97 566-16-87,iustynahuzenko@example.org
Рева,Валентин,Тарасович,чоловіча,1971-11-09,Промисловець,село Сколе,"площа Шкодова гора, буд. 349 кв. 953, Верхньодніпровськ, 57521",+380 35 735-00-43,kamillaizhakevych@example.net
Шахрай,Амалія,Сергіївна,жіноча,1968-05-03,Пекар,селище Олександрівськ,"вулиця Кісельова Ігоря, буд. 266, Любомль, 15846",464 24 71,qkhomyk@example.com
Гайдамака,Віолетта,Миколаївна,жіноча,1931-08-09,Ветеринар,селище Звенигородка,"вулиця Приморський, буд. 565 кв. 84, Тетіїв, 04481",404 94 60,rostyslavaleksiichuk@example.com
Вітрук,Ярина,Миколаївна,жіноча,2002-08-05,Палеонтолог,хутір Олександрівськ,"площа Чапаєва 2-й, буд. 831, Южне, 82785",032 225-69-88,chuikohalyna@example.com
Теличенко,Аврелій,Євгенович,чоловіча,1991-12-05,Гірничий інженер,селище Амвросіївка,"парк Місячна, буд. 7 кв. 829, Нововолинськ, 04508",036 252-27-79,wirvanets@example.net
Сірченко,Гліб,Григорович,чоловіча,1956-02-11,Стиліст,місто Біляївка,"вулиця Лінія 47-ма, буд. 01 кв. 8, Перемишляни, 51150",402 68 72,vprokopovych@example.com
Шовкопляс,Лукʼян,Леонідович,чоловіча,1934-04-11,Візажист,місто Бердичів,"вулиця Польовий 1-й, буд. 180, Алмазна, 50805",393 15 55,aivashchenko@example.com
Шведченко,Феофан,Григорович,чоловіча,1938-04-10,Мікробіолог,село Севастополь,"провулок Олександра Вронського, буд. 583, Мелітополь, 40405",+380 03 881-30-17,nosenkoopanas@example.org
Бакуменко,Борис,Сергійович,чоловіча,1956-09-27,Штукатур,село Вознесенськ,"площа Марії Демченко 2-й, буд. 1 кв. 372, Хорол , 93715",+380 48 578 95 54,skorobohatkoviacheslav@example.net
Франко,Ганна,Леонідівна,жіноча,1937-10-25,Няня,село Тетіїв,"сквер Елеваторна, буд. 914, Бориспіль, 15224",+380 87 755-92-60,audovychenko@example.org
Бабиченко,Євген,Федорович,чоловіча,2008-09-06,Вчитель,село Бахмут,"парк Калнишевського Петра, буд. 137 кв. 85, Олевськ, 19291",+380 31 016 85 95,korolenkobohdanna@example.net
Охримович,Данна,Леонідівна,жіноча,1939-05-02,Кінорежисер,місто Ворожба,"площа Чорноморський 3-й, буд. 77 кв. 02, Хрестівка, 52832",+380 (83) 186-66-11,kyrylobatih@example.com
Охримович,Мартин,Олександрович,чоловіча,1936-07-27,Біолог,місто Добромиль,"проспект Конструкторський, буд. 75, Тлумач, 48785",061 139-07-90,vladyslavmakohon@example.net
Годунок,Оксана,Ярославівна,жіноча,1986-12-27,Графік,село Сновськ,"проспект Багрицького, буд. 4, Тараща, 17897",897 22 46,zasukhaalbina@example.org
Бабариченко,Геннадій,Юрійович,чоловіча,1947-10-24,Історик,селище Погребище,"площа Лазурний 1-й, буд. 742 кв. 03, Вільногірськ, 74522",159-74-14,veniiamynchernenko@example.org
Фурс,Орест,Дмитрович,чоловіча,1947-03-17,Бухгалтер,хутір Устилуг,"парк 11-та Суворовська, буд. 54 кв. 276, Петрово-Красносілля, 38490",+380 59 734-58-97,eartym@example.net
Артеменко,Богуслава,Богданівна,жіноча,1978-05-23,Електрослюсар,село Новодністровськ,"узвіз Чехова, буд. 5, Фастів, 93968",956-09-62,driaboshapka@example.com
Панчук,Панас,Григорович,чоловіча,1948-06-17,Пекар,селище Шумськ,"вулиця Університетський, буд. 834 кв. 5, Почаїв, 82117",+380 32 377-63-33,daryna69@example.net
Свистун,Борислав,Олександрович,чоловіча,1979-01-18,Фермер,місто Буринь,"площа Чорноморка, буд. 82 кв. 48, Берегове, 21316",+380 (53) 709-63-63,babychdmytro@example.net
Корпанюк,Олесь,Захарович,чоловіча,1995-07-22,Модель,селище Молодогвардійськ,"узвіз Кибальчича, буд. 303 кв. 77, Іллінці, 82930",573-66-01,anitahaievska@example.net
Власенко,Наталія,Михайлівна,жіноча,1947-09-17,Менеджер,село Генічеськ,"парк Мусіна, буд. 861, Зоринськ, 54483",+380 10 125-86-41,hhabelko@example.com
Доценко,Демид,Костянтинович,чоловіча,1959-05-02,Кінолог,місто Вознесенівка,"набережна Київське, буд. 374, Сміла, 95228",+380 36 478-28-51,nestaikoiukhym@example.org
Авдєєнко,Нестор,Русланович,чоловіча,1967-06-17,Музикант,село Буськ,"сквер Топольського, буд. 19, Долина , 54382",093 99 30,babychzynovii@example.com
Дуплій,Георгій,Олександрович,чоловіча,2002-12-18,Географ,село Лиман ,"проспект 13-та Суворовська, буд. 721, Рогатин, 40239",+380 02 317 26 70,romansirchenko@example.net
Василевич,Марʼяна,Федорівна,жіноча,1974-05-01,Драматург,місто Бердичів,"парк Спиридонівська, буд. 535 кв. 06, Миколаїв, 51278",+380 97 364-41-97,iefremdubenko@example.org
Андрієвич,Опанас,Григорович,чоловіча,1995-07-21,Геолог,село Святогірськ,"узвіз Виставочна, буд. 900, Васильків, 33235",385-38-24,martyn17@example.net
Романець,Пилип,Федорович,чоловіча,1989-04-30,Маркетолог,селище Коломия,"вулиця Асташкіна, буд. 954 кв. 48, Самбір, 71138",+380 48 608 86 57,hshakhrai@example.com
Пилипенко,Галина,Євгенівна,жіноча,1951-04-14,Клавішник,селище Дунаївці,"площа Кільцева, буд. 8 кв. 4, Овруч, 67755",212 96 43,bohuslavazabila@example.org
Байрак,Ірена,Тарасівна,жіноча,1954-05-30,Бізнесмен,місто Покров,"проспект Бориса Дерев'янка, буд. 340 кв. 289, Бережани, 43069",+380 30 702-33-30,erika68@example.org
Щербак,Михайлина,Федорівна,жіноча,2000-08-01,Психолог,село Токмак,"узвіз Уютна, буд. 449, Харків, 46425",+380 (30) 788-24-79,zpalii@example.org
Левченко,Валентина,Юріївна,жіноча,1980-11-01,Локсмайстер,місто Хмельницький,"набережна Пісочний, буд. 62 кв. 3, Сколе, 59905",+380 (45) 799-32-60,nataliiaviter@example.com
Титаренко,Наталія,Юріївна,жіноча,1987-05-30,Бізнесмен,селище Селидове,"узвіз Молоді, буд. 4 кв. 0, Броди, 31576",026 432 35 41,iaremabezditko@example.com
Піддубна,Йосип,Іванович,чоловіча,1981-08-06,Доцент,місто Перемишляни,"площа 15-та Суворовська, буд. 060 кв. 11, Олександрівськ, 23202",+380 54 471-15-35,qchupryna@example.com
Заєць,Валерій,Ярославович,чоловіча,2004-05-11,Клоун,хутір Приморськ (Україна),"набережна Глазунова 1-й, буд. 61, Голубівка, 76116",+380 16 207 62 55,dannahohol@example.org
Бебешко,Теодор,Ярославович,чоловіча,2001-08-22,Математик,село Каховка,"площа Ковалевського узвіз, буд. 9 кв. 7, Новодністровськ, 23438",+380 (78) 208-03-63,vitalii60@example.org
Атаманюк,Едита,Юріївна,жіноча,1956-01-09,Професор,хутір Борзна,"проспект Велика Садова, буд. 5 кв. 29, Зимогір'я, 13691",660-47-10,kyrylo21@example.net
Дейнека,Мирослав,Ярославович,чоловіча,2004-09-04,Дерун,хутір Лисичанськ,"сквер Глазунова, буд. 08, Верхівцеве, 11682",082 175 96 80,zarudnyiihnat@example.net
Дергач,Ірена,Дмитрівна,жіноча,1978-05-06,Кінокритик,селище Червоноград,"проспект Складська, буд. 439, Сіверськ, 77412",+380 57 687-18-80,nadiia26@example.com
Теличенко,Едита,Сергіївна,жіноча,1930-09-24,Кінорежисер,село Ялта,"узвіз Вапняний 2-й, буд. 8 кв. 359, Дубляни, 20235",033 463-15-52,iustym66@example.org
Вернидуб,Пантелеймон,Вікторович,чоловіча,1978-05-13,Головний меркшейдер,селище Першотравенськ,"проспект Казанська, буд. 19, Перемишляни, 49661",+380 78 465 63 48,myronvasylashko@example.net
Баранник,Леонтій,Іванович,чоловіча,1937-11-16,Детектив,місто Новгород-Сіверський,"провулок Ползунова 2-й, буд. 2 кв. 203, Кам'янка-Бузька, 28950",083 746 78 72,zhuz@example.net
Барабаш,Аврелій,Євгенович,чоловіча,1952-05-15,Швачка,село Рубіжне,"узвіз Маловського, буд. 28, Ялта, 04682",032 552 67 79,iemelianenkoalina@example.net
Пелех,Віктор,Дмитрович,чоловіча,2008-06-06,Мінералог,село Берестечко,"шосе Хімічний 1-й, буд. 50 кв. 2, Бровари, 31767",031 736-06-89,semenvitruk@example.org
Литвин,Пантелеймон,Тарасович,чоловіча,1954-01-16,Мінералог,селище Заліщики,"набережна Василя Симоненка, буд. 05 кв. 8, Городок, 25194",883 34 70,ivan58@example.net
Назаренко,Наталія,Дмитрівна,жіноча,1931-09-29,Драматург,хутір Сновськ,"проспект Багрицького, буд. 1 кв. 533, Буськ, 52938",036 863-90-71,kderhach@example.com
Гавриленко,Остап,Тарасович,чоловіча,1957-11-25,Кінолог,місто Батурин,"шосе Скляний 3-й, буд. 4 кв. 66, Донецьк, 85045",+380 83 816-72-64,demydmamchur@example.net
Нестайко,Ада,Андріївна,жіноча,1979-05-25,Модельєр,село Новомосковськ,"проспект Онезька, буд. 15, Березне, 94442",+380 73 374-83-54,zakhar35@example.net
Ребрик,Леопольд,Леонідович,чоловіча,1976-08-04,Стоматолог,місто Ржищів,"проспект Виноградний, буд. 59, Енергодар, 20655",026 878 80 78,pavlo08@example.net
Деряжна,Алла,Ярославівна,жіноча,1975-03-29,Географ,місто Федорівка,"площа Ананьївська, буд. 675, Сєвєродонецьк, 18280",083 556-40-32,petroartiukh@example.com
Баклан,Олесь,Ярославович,чоловіча,1990-12-30,Швачка,місто Борзна,"сквер Наклонна, буд. 7 кв. 76, Бердичів, 87015",011 914 90 70,lahodapetro@example.com
Колісниченко,Болеслав,Тарасович,чоловіча,1956-11-11,Вчитель,селище Хрустальний,"узвіз Андреєвського, буд. 1 кв. 93, Олександрія, 63784",036 937 62 68,leontiilytvynenko@example.org
Лазаренко,Сергій,Захарович,чоловіча,1959-10-20,Хімік,село Бережани,"сквер Павлова, буд. 899, Ровеньки, 79126",+380 49 169-27-66,varfolomiikovpak@example.org
Авраменко,Опанас,Іванович,чоловіча,2008-02-29,Редактор,місто Бібрка,"провулок Шампанський, буд. 9, Рудки, 17690",778-34-92,galaganieva@example.net
Рудько,Прохір,Євгенович,чоловіча,1946-05-25,Дипломат,хутір Гірник ,"парк Килимовий, буд. 811, Дебальцеве, 37704",+380 12 936-97-34,marianapoltavets@example.org
Сиротенко,Олесь,Олександрович,чоловіча,1936-07-19,Ботанік,селище Гуляйполе,"узвіз Місячна, буд. 25, Здолбунів, 92755",+380 91 970-87-27,skopenkoopanas@example.org
Бевзенко,Алевтин,Григорович,чоловіча,1934-04-19,Провізор,хутір Первомайськ,"шосе Матеріальний 1-й, буд. 697, Бібрка, 05722",+380 98 977 43 61,vasylivanychuk@example.net
Чекалюк,Мілена,Костянтинівна,жіноча,1967-10-22,Кур'єр,село Гайсин,"вулиця Костанді, буд. 0, Христинівка, 25862",031 763 45 44,jgereta@example.net
Юрчук,Оксенія,Андріївна,жіноча,1985-04-11,Випробувач,хутір Кременець,"узвіз Вишнева, буд. 8, Малин, 73885",089 808-04-69,panchukvladyslav@example.org
Дейнека,Костянтин,Іванович,чоловіча,1971-03-15,Фізик,місто Мена ,"вулиця Леваневського, буд. 997 кв. 26, Соледар, 26212",+380 89 635 40 90,kshcherbak@example.com
Таран,Емілія,Григорівна,жіноча,1984-06-27,Сценарист,хутір Ірміно,"шосе Садова 4-та, буд. 86, Алушта, 82705",+380 (78) 062-06-19,oleksatereshchuk@example.org
Пушкар,Клавдія,Костянтинівна,жіноча,1960-07-05,Державний службовець,селище Житомир,"шосе Люстдорфський, буд. 077 кв. 846, Антрацит , 27690",024 401 69 08,prytulaalla@example.com
Харченко,Марина,Петрівна,жіноча,1991-07-04,Єгер,хутір Енергодар,"шосе Конструкторський, буд. 45, Сквира, 45830",016 643 98 84,hlibkovaliuk@example.net
Уманець,Альберт,Федорович,чоловіча,1983-08-22,Лікар,село Білозерське,"набережна Учительський, буд. 788 кв. 0, Новий Розділ, 20851",099 735 80 96,fmazur@example.org
Козак,Ірина,Сергіївна,жіноча,1939-06-09,Ботанік,село Дрогобич,"проспект Єнісейська, буд. 81 кв. 9, Городня, 21090",091 990-29-37,okhrimenkomykhailo@example.org
Безбородько,Опанас,Юрійович,чоловіча,1963-08-21,Кур'єр,селище Сулимівка (Слов'янськ),"узвіз Політкаторжан, буд. 751 кв. 26, Вільнянськ, 67411",+380 93 148 16 10,xshtokalo@example.com
Бгиденко,Галина,Сергіївна,жіноча,1987-08-14,Прокурор,місто Переяслав,"сквер Локомотивний 1-й, буд. 516 кв. 4, Сорокине, 46725",006 338 04 55,sliusarvasylyna@example.net
Колодуб,Онисим,Ярославович,чоловіча,2000-10-19,Візажист,хутір Заліщики,"сквер Бориса Дерев'янка, буд. 653 кв. 0, Лебедин, 37616",298 82 84,panasshvachko@example.com
Вертипорох,Галина,Захарівна,жіноча,2005-05-12,Ґрунтознавець,хутір Глиняни,"вулиця Івана Франка, буд. 194, Дубровиця, 12746",753-89-09,cteslia@example.net
Жайворон,Яків,Леонідович,чоловіча,1945-06-27,Кінокритик,місто Молочанськ,"шосе Соборна, буд. 002, Кагарлик, 35190",067-29-26,turkaloteodor@example.org
Килимник,Ростислав,Михайлович,чоловіча,1961-05-16,Бізнесмен,хутір Ківерці,"провулок Аполона Скальковського, буд. 7, Збараж, 39992",096-12-76,dlubenets@example.net
Мазур,Костянтин,Русланович,чоловіча,1958-04-23,Єгер,селище Бровари,"шосе Семінарська, буд. 779 кв. 728, Чорнобиль, 96385",990 23 81,oksana41@example.com
Гречаник,Аніта,Дмитрівна,жіноча,1989-12-15,Підприємець,селище Переяслав,"парк Композитора Глинки, буд. 737, Тисмениця, 13598",+380 39 180 34 99,vkanivets@example.com
Товстуха,Ярослава,Леонідівна,жіноча,1970-05-25,Музичний редактор,селище Ланівці,"узвіз Університетський, буд. 8 кв. 9, Рудки, 06198",+380 37 078-00-76,kkylymnyk@example.org
Михайличенко,Мирослав,Дмитрович,чоловіча,1956-09-06,Мірошник,село Острог,"сквер Аеродромний 1-й, буд. 60 кв. 9, Єнакієве, 06082",017 872-32-72,khoma13@example.net
Овсієнко,Ірена,Юріївна,жіноча,1975-06-03,Бібліотекар,хутір Новий Розділ,"набережна Ткачова, буд. 6 кв. 54, Овруч, 53773",088 237 34 38,valentyn84@example.net
Деряжний,Феофан,Олександрович,чоловіча,1989-02-02,Ґрунтознавець,село Радомишль,"набережна Жоліо-Кюрі, буд. 80, Миронівка, 33796",014 339 77 90,hhaievska@example.net
Ажажа,Азар,Леонідович,чоловіча,1964-01-28,Модельєр,місто Антрацит ,"проспект Маковий, буд. 6 кв. 9, Горохів, 21649",+380 12 182-18-32,terezashvachka@example.net
Романенко,Борислав,Тарасович,чоловіча,1967-08-14,Менеджер,село Олександрівськ,"проспект Морська, буд. 112, Ромни, 67057",+380 (24) 435-96-82,andrii19@example.org
Кащенко,Охрім,Юрійович,чоловіча,2001-09-20,Юрист,хутір Заводське,"парк Ключовий 2-й, буд. 5 кв. 66, Рогатин, 11882",+380 57 477-23-30,kanivetslukian@example.org
Барабаш,Охрім,Захарович,чоловіча,1972-10-23,Маркетолог,селище Федорівка,"узвіз Академіка Корольова, буд. 58, Узин, 33524",+380 48 955-10-96,martiushenko@example.net
Скиба,Єва,Федорівна,жіноча,1956-05-06,Електрик,село Рахів,"площа Лінія 45-та, буд. 764 кв. 390, Луганськ, 20932",+380 (44) 124-22-15,artymvalentyn@example.org
Батіг,Стефан,Олександрович,чоловіча,1948-01-11,Електромонтажник,селище Знам'янка,"проспект Дідріхсона, буд. 58 кв. 5, Бучач, 46852",051 632-25-94,zlatoslavabairak@example.com
Абрамчук,Устим,Григорович,чоловіча,2006-09-27,Державний службовець,селище Корсунь-Шевченківський,"шосе Ільфа і Петрова, буд. 14 кв. 99, Алчевськ, 13074",+380 88 640-34-69,kanivetshalyna@example.com
Прокопович,Валентина,Миколаївна,жіноча,1954-12-16,Фотограф,хутір Докучаєвськ,"парк Нікітіна, буд. 4 кв. 9, Кадіївка, 81779",016 410 58 92,andrii35@example.com
Дурдинець,Соломія,Федорівна,жіноча,1989-08-25,Живописець,місто Помічна,"вулиця Толбухіна, буд. 11, Яремче, 10497",057 944 46 04,chekaliukieva@example.org
Опанасенко,Соломія,Вікторівна,жіноча,1955-10-07,Бібліотекар,село Помічна,"провулок Аптекарський, буд. 94, Світлодарськ, 87323",277-87-65,tetianachumachenko@example.com
Дутка,Герман,Ярославович,чоловіча,1986-06-26,Шериф,місто Южне,"парк Трояндова, буд. 933 кв. 3, Білопілля, 84041",091 200 83 21,olha27@example.com
Дубина,Віктор,Олександрович,чоловіча,1936-09-06,Медик,місто Пирятин,"вулиця Академіка Вільямса, буд. 3, Бібрка, 76227",110 07 47,valentyna83@example.com
Швачко,Златослава,Дмитрівна,жіноча,1929-10-13,Астроном,село Славута,"сквер Соляний 6-й, буд. 809, Сторожинець, 76847",+380 15 102 77 32,ihnatatamanchuk@example.org
